,rank,level_0,level_1,high Depression,low Depression
0,3.0,past_day_fats,MEAN,1.000,0.550
1,,portions,CORR,-0.2522683042797904,-0.2522683042797904
2,,,STD,1.342,1.071
3,,,CI95,0.356 - 1.644,0.203 - 0.897
4,5.0,past_day_sugars,MEAN,1.100,0.450
5,,portions,CORR,-0.1013498453936781,-0.1013498453936781
6,,,STD,1.411,0.865
7,,,CI95,0.423 - 1.777,0.170 - 0.730
8,14.0,past_day_caffeine,MEAN,2.050,1.675
9,,cups,CORR,0.1970357691893001,0.1970357691893001
10,,,STD,0.669,1.058
11,,,CI95,1.729 - 2.371,1.332 - 2.018
12,19.0,Diet_satisfaction,MEAN,2.000,2.100
13,,Score 1-5,CORR,-0.184175805306757,-0.184175805306757
14,,,STD,0.000,0.300
15,,,CI95,nan - nan,2.003 - 2.197
