,rank,level_0,level_1,high Depression,low Depression
0,5.0,past_day_fats,MEAN,1.902,1.650
1,,portions,CORR,-0.1736566656981155,-0.1736566656981155
2,,,STD,1.495,2.128
3,,,CI95,1.425 - 2.380,0.628 - 2.672
4,6.0,past_day_sugars,MEAN,0.146,0.100
5,,portions,CORR,0.0609166000896535,0.0609166000896535
6,,,STD,0.353,0.300
7,,,CI95,0.033 - 0.259,-0.044 - 0.244
8,14.0,past_day_caffeine,MEAN,0.561,0.350
9,,cups,CORR,0.2208428466423242,0.2208428466423242
10,,,STD,0.828,0.726
11,,,CI95,0.296 - 0.826,0.001 - 0.699
12,15.0,Diet_satisfaction,MEAN,3.293,3.050
13,,Score 1-5,CORR,-0.0161327818470721,-0.0161327818470721
14,,,STD,1.502,1.746
15,,,CI95,2.813 - 3.773,2.212 - 3.888
