,rank,level_0,level_1,high Depression,low Depression
0,2.0,past_day_fats,MEAN,0.923,1.639
1,,portions,RANGE,"[0.0, 4.0]","[0.0, 8.0]"
2,,,CORR,0.2079849272165152,0.2079849272165152
3,,,STD,1.141,2.175
4,,,CI95,nan - nan,0.893 - 2.385
5,4.0,past_day_caffeine,MEAN,0.731,0.639
6,,cups,RANGE,"[0.0, 2.0]","[0.0, 2.0]"
7,,,CORR,0.0532335235829204,0.0532335235829204
8,,,STD,0.654,0.673
9,,,CI95,nan - nan,0.408 - 0.870
10,7.0,past_day_sugars,MEAN,0.615,0.306
11,,portions,RANGE,"[0.0, 2.0]","[0.0, 5.0]"
12,,,CORR,-0.2461044490399106,-0.2461044490399106
13,,,STD,0.788,0.876
14,,,CI95,nan - nan,0.005 - 0.606
15,18.0,Diet_satisfaction,MEAN,4.692,4.722
16,,Score 1-5,RANGE,"[2.0, 5.0]","[3.0, 5.0]"
17,,,CORR,0.1601393717837788,0.1601393717837788
18,,,STD,0.773,0.558
19,,,CI95,nan - nan,4.531 - 4.914
