,rank,level_0,level_1,high Depression,low Depression
0,4.0,past_day_fats,MEAN,2.844,2.214
1,,portions,CORR,-0.2276980088025457,-0.2276980088025457
2,,,STD,1.954,1.677
3,,,CI95,2.128 - 3.560,1.552 - 2.876
4,5.0,past_day_caffeine,MEAN,1.719,1.536
5,,cups,CORR,0.2120186837661056,0.2120186837661056
6,,,STD,1.007,1.017
7,,,CI95,1.350 - 2.088,1.134 - 1.937
8,15.0,Diet_satisfaction,MEAN,3.281,3.143
9,,Score 1-5,CORR,0.0662478910457727,0.0662478910457727
10,,,STD,0.572,0.639
11,,,CI95,3.072 - 3.491,2.891 - 3.395
12,24.0,past_day_sugars,MEAN,0.406,0.536
13,,portions,CORR,0.1287187445395577,0.1287187445395577
14,,,STD,0.824,0.906
15,,,CI95,0.104 - 0.708,0.178 - 0.893
