,rank,level_0,level_1,high Depression,low Depression
0,3.0,Gratitude,MEAN,5.667,6.143
1,,Score 1-7,CORR,-0.4145113444953914,-0.4145113444953914
2,,,STD,0.816,0.833
3,,,CI95,nan - nan,nan - nan
4,14.0,Reflect_activetime,MEAN,34065.250,20197.571
5,,msec,CORR,-0.0349578815153357,-0.0349578815153357
6,,,STD,27997.541,6950.999
7,,,CI95,nan - nan,nan - nan
8,17.0,Reflect_totaltime,MEAN,114327.000,91622.143
9,,msec,CORR,-0.0353211528660147,-0.0353211528660147
10,,,STD,62939.398,36068.266
11,,,CI95,nan - nan,nan - nan
12,20.0,Connect_chattime,MEAN,0.527,0.492
13,,Hrs,CORR,0.0012059459004533,0.0012059459004533
14,,,STD,0.736,0.729
15,,,CI95,0.236 - 0.817,0.230 - 0.755
16,22.0,Connect_chatpeople,MEAN,2.179,1.545
17,,# people,CORR,0.1450537547468793,0.1450537547468793
18,,,STD,2.071,1.018
19,,,CI95,1.361 - 2.996,1.179 - 1.912
20,27.0,Connect_satisfaction,MEAN,4.000,3.788
21,,Score 1-5,CORR,0.0276091603703091,0.0276091603703091
22,,,STD,0.756,0.844
23,,,CI95,3.702 - 4.298,3.484 - 4.092
24,28.0,Connect_volunteertime,MEAN,0.161,0.091
25,,Hrs,CORR,0.1325611995165754,0.1325611995165754
26,,,STD,0.535,0.378
27,,,CI95,-0.051 - 0.372,-0.045 - 0.227
28,30.0,Connect_grouptime,MEAN,0.000,0.045
29,,Hrs,CORR,-0.136086749855171,-0.136086749855171
30,,,STD,0.000,0.257
31,,,CI95,nan - nan,-0.047 - 0.138
